Author,Year,Title,Journal,Volume,Issue,StartPage,Affiliation,Keywords,NumCitations,Fraudulent,Field,Rank,hIndex_Total,hIndex_Year,Degree_Total,Degree_Year,,
"Pond Jr., R.S.",2014,Explaining the relationship between religiousness and substance use: Self-control matters.,Journal of Personality and Social Psychology,107,2,339,University of North Carolina at Wilmington,"alcohol, religiosity, self-control, self-regulation, substance use",0,,Psychology,Assistant Professor,0,0,6,6,,
"Diener, E.",2014,"What matters to the rich and the poor? Subjective well-being, financial satisfaction, and postmaterialist needs across the World.",Journal of Personality and Social Psychology,107,2,326,University of Illinois at Urbana-Champaign,"autonomy, financial satisfaction, postmaterialist needs, respect,subjective well-being",0,,Psychology,Professor,13,0,55,1,,
"Ng, W.",2014,"What matters to the rich and the poor? Subjective well-being, financial satisfaction, and postmaterialist needs across the World.",Journal of Personality and Social Psychology,107,2,326,Singapore Institute of Management,"autonomy, financial satisfaction, postmaterialist needs, respect,subjective well-being",0,,Arts & Social Sciences,Professor,1,0,5,1,,
"Brunelle, T.J.",2014,A longitudinal study of risk-glorifying video games and behavioral deviance.,Journal of Personality and Social Psychology,107,2,300,Dartmouth College,"aggression, alcohol use, cigarette smoking, delinquency, risky sex, video games, risk glorification, rebelliousness, deviant behavior",0,,Psychology,,0,0,3,3,,
"Hull, J.G.",2014,A longitudinal study of risk-glorifying video games and behavioral deviance.,Journal of Personality and Social Psychology,107,2,300,Dartmouth College,"aggression, alcohol use, cigarette smoking, delinquency, risky sex, video games, risk glorification, rebelliousness, deviant behavior",0,,Psychology,,1,0,6,3,,
"Prescott, A.T.",2014,A longitudinal study of risk-glorifying video games and behavioral deviance.,Journal of Personality and Social Psychology,107,2,300,Dartmouth College,"aggression, alcohol use, cigarette smoking, delinquency, risky sex, video games, risk glorification, rebelliousness, deviant behavior",0,,Psychology,,0,0,3,3,,
"Sargent, J.D.",2014,A longitudinal study of risk-glorifying video games and behavioral deviance.,Journal of Personality and Social Psychology,107,2,300,Geisel School of Medicine at Dartmouth,"aggression, alcohol use, cigarette smoking, delinquency, risky sex, video games, risk glorification, rebelliousness, deviant behavior",0,,Psychology,,0,0,3,3,,
"Larrick, R.P.",2014,The wisdom of select crowds.,Journal of Personality and Social Psychology,107,2,276,Duke University,"aggregation, decision making, expertise, groups, judgment, judge",0,,Business,,3,0,6,2,,
"Mannes, A.E.",2014,The wisdom of select crowds.,Journal of Personality and Social Psychology,107,2,276,Duke University,"aggregation, decision making, expertise, groups, judgment, judge",0,,Psychology,,0,0,2,2,,
"Soll, J.B.",2014,The wisdom of select crowds.,Journal of Personality and Social Psychology,107,2,276,Duke University,"aggregation, decision making, expertise, groups, judgment, judge",0,,Business,,0,0,2,2,,
"Dechesne, M.",2014,Interdependent self-construals mitigate the fear of death and augment the willingness to become a martyr.,Journal of Personality and Social Psychology,107,2,265,University of Leiden-Campus The Hague,"death anxiety, martyrdom, quest for significance, self-construal, self-sacrifice, motivation, fear of death",0,,Psychology,,2,0,14,4,,
"Kruglanski, A.W.",2014,Interdependent self-construals mitigate the fear of death and augment the willingness to become a martyr.,Journal of Personality and Social Psychology,107,2,265,University of Maryland,"death anxiety, martyrdom, quest for significance, self-construal, self-sacrifice, motivation, fear of death",0,,Psychology,,11,0,71,4,,
"Orehek, E.",2014,Interdependent self-construals mitigate the fear of death and augment the willingness to become a martyr.,Journal of Personality and Social Psychology,107,2,265,University of Pittsburgh,"death anxiety, martyrdom, quest for significance, self-construal, self-sacrifice, motivation, fear of death",0,,Psychology,,1,0,8,4,,
"Ridgeway, L.",2014,Interdependent self-construals mitigate the fear of death and augment the willingness to become a martyr.,Journal of Personality and Social Psychology,107,2,265,University of Washington,"death anxiety, martyrdom, quest for significance, self-construal, self-sacrifice, motivation, fear of death",0,,Psychology,,0,0,4,4,,
"Sasota, J.A.",2014,Interdependent self-construals mitigate the fear of death and augment the willingness to become a martyr.,Journal of Personality and Social Psychology,107,2,265,Ohio State University,"death anxiety, martyrdom, quest for significance, self-construal, self-sacrifice, motivation, fear of death",0,,Psychology,,0,0,4,4,,
"Albarello, F.",2014,Badly off or better off than them? The impact of relative deprivation and relative gratification on intergroup discrimination.,Journal of Personality and Social Psychology,107,2,248,University of Bologna,"group-based emotions, intergroup discrimination, relative deprivation,relative gratification, outgroup, social comparison",2,,Psychology,,1,1,3,3,,
"Moscatelli, S.",2014,Badly off or better off than them? The impact of relative deprivation and relative gratification on intergroup discrimination.,Journal of Personality and Social Psychology,107,2,248,University of Bologna,"group-based emotions, intergroup discrimination, relative deprivation,relative gratification, outgroup, social comparison",2,,Psychology,,1,1,3,3,,
"Prati, F.",2014,Badly off or better off than them? The impact of relative deprivation and relative gratification on intergroup discrimination.,Journal of Personality and Social Psychology,107,2,248,University of Bologna,"group-based emotions, intergroup discrimination, relative deprivation,relative gratification, outgroup, social comparison",2,,Psychology,,1,1,3,3,,
"Rubini, M.",2014,Badly off or better off than them? The impact of relative deprivation and relative gratification on intergroup discrimination.,Journal of Personality and Social Psychology,107,2,248,University of Bologna,"group-based emotions, intergroup discrimination, relative deprivation,relative gratification, outgroup, social comparison",2,,Psychology,,1,1,3,3,,
"Leander Pontus, N.",2014,Indifferent reactions: Regulatory responses to the apathy of others.,Journal of Personality and Social Psychology,107,2,229,University of Groningen,"apathy, contagion, goals, indifference, self-regulation, goal-directed motivation",0,,Psychology,,0,0,2,2,,
"Sanders, S.",2014,Indifferent reactions: Regulatory responses to the apathy of others.,Journal of Personality and Social Psychology,107,2,229,University of Groningen,"apathy, contagion, goals, indifference, self-regulation, goal-directed motivation",0,,Psychology,,0,0,2,2,,
"Shah, J.Y.",2014,Indifferent reactions: Regulatory responses to the apathy of others.,Journal of Personality and Social Psychology,107,2,229,Duke University,"apathy, contagion, goals, indifference, self-regulation, goal-directed motivation",0,,Psychology,,10,0,26,2,,
"Holtgraves, T.",2014,Interpreting uncertainty terms.,Journal of Personality and Social Psychology,107,2,219,Personal,"interpretation, language, pragmatics, reasoning, uncertainty, facework",0,,N/A,,0,0,0,0,,
"Bel-Bahar, T.S.",2014,Human attribute concepts: Relative ubiquity across twelve mutually isolated languages.,Journal of Personality and Social Psychology,107,1,199,University of Oregon,"Big Five, competence, language, morality, personality, diverse cultural characteristics",0,,Psychology,,0,0,2,2,,
"Saucier, G.",2014,Human attribute concepts: Relative ubiquity across twelve mutually isolated languages.,Journal of Personality and Social Psychology,107,1,199,University of Oregon,"Big Five, competence, language, morality, personality, diverse cultural characteristics",0,,Psychology,,3,0,5,2,,
"Thalmayer, A.G.",2014,Human attribute concepts: Relative ubiquity across twelve mutually isolated languages.,Journal of Personality and Social Psychology,107,1,199,University of Oregon,"Big Five, competence, language, morality, personality, diverse cultural characteristics",0,,Psychology,,0,0,2,2,,
"Goldenberg, J.L.",2014,"Trio of terror (pregnancy, menstruation, and breastfeeding): An existential function of literal self-objectification among women.",Journal of Personality and Social Psychology,107,1,181,University of South Florida,"breastfeeding, literal self-objectification, menstruation, pregnancy,terror management theory, existential function",1,,Psychology,,9,1,51,2,,
"Heflick, N.A.",2014,"Trio of terror (pregnancy, menstruation, and breastfeeding): An existential function of literal self-objectification among women.",Journal of Personality and Social Psychology,107,1,181,University of Kent,"breastfeeding, literal self-objectification, menstruation, pregnancy,terror management theory, existential function",1,,Psychology,,1,1,5,2,,
"Morris, K.L.",2014,"Trio of terror (pregnancy, menstruation, and breastfeeding): An existential function of literal self-objectification among women.",Journal of Personality and Social Psychology,107,1,181,University of South Florida,"breastfeeding, literal self-objectification, menstruation, pregnancy,terror management theory, existential function",1,,Psychology,,1,1,2,2,,
"Eid, M.",2014,"Honey, i got fired! A longitudinal dyadic analysis of the effect of unemployment on life satisfaction in couples.",Journal of Personality and Social Psychology,107,1,163,Freie Universitat Berlin,"close relationships, dyadic data analysis, life satisfaction, subjective well-being, unemployment, couples",0,,Psychology,,4,0,13,3,,
"Hosoya, G.",2014,"Honey, i got fired! A longitudinal dyadic analysis of the effect of unemployment on life satisfaction in couples.",Journal of Personality and Social Psychology,107,1,163,Freie Universitat Berlin,"close relationships, dyadic data analysis, life satisfaction, subjective well-being, unemployment, couples",0,,Psychology,,0,0,3,3,,
"Luhmann, M.",2014,"Honey, i got fired! A longitudinal dyadic analysis of the effect of unemployment on life satisfaction in couples.",Journal of Personality and Social Psychology,107,1,163,University of Illinois at Chicago,"close relationships, dyadic data analysis, life satisfaction, subjective well-being, unemployment, couples",0,,Psychology,,2,0,10,3,,
"Weiss, P.",2014,"Honey, i got fired! A longitudinal dyadic analysis of the effect of unemployment on life satisfaction in couples.",Journal of Personality and Social Psychology,107,1,163,Freie Universitat Berlin,"close relationships, dyadic data analysis, life satisfaction, subjective well-being, unemployment, couples",0,,Psychology,,2,0,355,3,,
"Callan, M.J.",2014,"Making sense of misfortune: Deservingness, self-esteem, and patterns of self-defeat.",Journal of Personality and Social Psychology,107,1,142,University of Essex,"deservingness, just-world theory, self-defeating, self-esteem, self-punishment, motivation",0,,Psychology,,2,0,9,2,,
"Dawtry, R.J.",2014,"Making sense of misfortune: Deservingness, self-esteem, and patterns of self-defeat.",Journal of Personality and Social Psychology,107,1,142,University of Kent,"deservingness, just-world theory, self-defeating, self-esteem, self-punishment, motivation",0,,Psychology,,0,0,2,2,,
"Kay, A.C.",2014,"Making sense of misfortune: Deservingness, self-esteem, and patterns of self-defeat.|Seeking structure in social organization: Compensatory control and the psychological advantages of hierarchy.",Journal of Personality and Social Psychology,107|106,1|4,142|590,Duke University|Duke University,"deservingness, just-world theory, self-defeating, self-esteem, self-punishment, motivation|compensatory control, motivation, social hierarchy, structure",0|1,,Business|Psychology,|,10,1,52,5,,
"Anderson, J.E.",2014,Trust at zero acquaintance: More a matter of respect than expectation of reward.,Journal of Personality and Social Psychology,107,1,122,Cornell University,"norms, respect, social dilemma, trust, trust game",4,,Psychology,,1,1,4,4,,
"Dunning, D.",2014,Trust at zero acquaintance: More a matter of respect than expectation of reward.,Journal of Personality and Social Psychology,107,1,122,Cornell University,"norms, respect, social dilemma, trust, trust game",4,,Psychology,,9,1,22,4,,
"Ehlebracht, D.",2014,Trust at zero acquaintance: More a matter of respect than expectation of reward.,Journal of Personality and Social Psychology,107,1,122,University of Cologne,"norms, respect, social dilemma, trust, trust game",4,,Psychology,,1,1,4,4,,
"Fetchenhauer, D.",2014,Trust at zero acquaintance: More a matter of respect than expectation of reward.,Journal of Personality and Social Psychology,107,1,122,University of Cologne,"norms, respect, social dilemma, trust, trust game",4,,Psychology,,1,1,4,4,,
"Schlosser, T.",2014,Trust at zero acquaintance: More a matter of respect than expectation of reward.,Journal of Personality and Social Psychology,107,1,122,University of Cologne,"norms, respect, social dilemma, trust, trust game",4,,Psychology,,1,1,4,4,,
"Mendoza-Denton, R.",2014,Social class and academic achievement in college: The interplay of rejection sensitivity and entity beliefs.,Journal of Personality and Social Psychology,107,1,101,University of California,"academic achievement, entity versus incremental implicit theories, higher education, rejection sensitivity, social class, college",0,,Psychology,,6,0,34,1,,
"Rheinschmidt, M.L.",2014,Social class and academic achievement in college: The interplay of rejection sensitivity and entity beliefs.,Journal of Personality and Social Psychology,107,1,101,University of California,"academic achievement, entity versus incremental implicit theories, higher education, rejection sensitivity, social class, college",0,,Psychology,,0,0,1,1,,
"Gordon, S.H.",2014,A little similarity goes a long way: The effects of peripheral but self-revealing similarities on improving and sustaining interracial relationships.,Journal of Personality and Social Psychology,107,1,81,New York University,"diversity, groups and teams, intergroup anxiety, interracial interaction,similarity",1,,Psychology,,1,1,3,3,,
"Gullett, L.",2014,A little similarity goes a long way: The effects of peripheral but self-revealing similarities on improving and sustaining interracial relationships.,Journal of Personality and Social Psychology,107,1,81,Harvard University,"diversity, groups and teams, intergroup anxiety, interracial interaction,similarity",1,,Health,,1,1,3,3,,
"Magee, J.C.",2014,A little similarity goes a long way: The effects of peripheral but self-revealing similarities on improving and sustaining interracial relationships.,Journal of Personality and Social Psychology,107,1,81,New York University,"diversity, groups and teams, intergroup anxiety, interracial interaction,similarity",1,,Business,,3,1,14,3,,
"West, T.V.",2014,A little similarity goes a long way: The effects of peripheral but self-revealing similarities on improving and sustaining interracial relationships.,Journal of Personality and Social Psychology,107,1,81,New York University,"diversity, groups and teams, intergroup anxiety, interracial interaction,similarity",1,,Psychology,,1,1,6,3,,
"Cavallo, J.V.",2014,You can't always give what you want: The challenge of providing social support to low self-Esteem individuals.,Journal of Personality and Social Psychology,107,1,56,University of Waterloo,"interpersonal relationships, self-esteem, social support",2,,Psychology,,2,1,9,3,,
"Holmes, J.G.",2014,You can't always give what you want: The challenge of providing social support to low self-Esteem individuals.,Journal of Personality and Social Psychology,107,1,56,Wilfrid Laurier University,"interpersonal relationships, self-esteem, social support",2,,Psychology,,15,1,151,3,,
"Marigold, D.C.",2014,You can't always give what you want: The challenge of providing social support to low self-Esteem individuals.,Journal of Personality and Social Psychology,107,1,56,University of Waterloo,"interpersonal relationships, self-esteem, social support",2,,,,3,1,11,3,,
"Wood, J.V.",2014,You can't always give what you want: The challenge of providing social support to low self-Esteem individuals.,Journal of Personality and Social Psychology,107,1,56,University of Waterloo,"interpersonal relationships, self-esteem, social support",2,,Psychology,,9,1,59,3,,
"Han, A.",2014,Using abstract language signals power.,Journal of Personality and Social Psychology,107,1,41,Universit of Southern California,"abstraction, distance, perception, power, social judgment, interpersonal communication, abstract language",0,,Business,,0,0,2,2,,
"Smith, P.K.",2014,Using abstract language signals power.,Journal of Personality and Social Psychology,107,1,41,University of California,"abstraction, distance, perception, power, social judgment, interpersonal communication, abstract language",0,,Management,,1,0,3,2,,
"Wakslak, C.J.",2014,Using abstract language signals power.,Journal of Personality and Social Psychology,107,1,41,University of Southern California,"abstraction, distance, perception, power, social judgment, interpersonal communication, abstract language",0,,Business,,1,0,5,2,,
"Calanchini, J.",2014,How malleable is categorization by race? Evidence for competitive category use in social categorization.,Journal of Personality and Social Psychology,107,1,21,University of California,"category accessibility, category fit, race categorization, social categorization",2,,Psychology,,1,1,3,3,,
"Holzenbein, F.",2014,How malleable is categorization by race? Evidence for competitive category use in social categorization.,Journal of Personality and Social Psychology,107,1,21,Albert-Ludwigs-Universiteit,"category accessibility, category fit, race categorization, social categorization",2,,Psychology,,1,1,3,3,,
"Klauer, K.C.",2014,How malleable is categorization by race? Evidence for competitive category use in social categorization.,Journal of Personality and Social Psychology,107,1,21,Albert-Ludwigs-Universitat,"category accessibility, category fit, race categorization, social categorization",2,,Psychology,,3,1,10,3,,
"Sherman, J.W.",2014,How malleable is categorization by race? Evidence for competitive category use in social categorization.,Journal of Personality and Social Psychology,107,1,21,University of California,"category accessibility, category fit, race categorization, social categorization",2,,Psychology,,7,1,28,3,,
"Cañadas, E.",2014,An eye for the I: Preferential attention to the eyes of ingroup members.,Journal of Personality and Social Psychology,107,1,1,University of Granada,"face perception, intergroup bias, own-race bias, social categorization, socialvision, preferential attention, ingroup members, eyes, Whites",0,,Psychology,,0,0,0,0,,
"Choma, B.L.",2014,An eye for the I: Preferential attention to the eyes of ingroup members.,Journal of Personality and Social Psychology,107,1,1,University of Plymouth,"face perception, intergroup bias, own-race bias, social categorization, socialvision, preferential attention, ingroup members, eyes, Whites",0,,Psychology,,0,0,7,7,,
"Chung, D.",2014,An eye for the I: Preferential attention to the eyes of ingroup members.,Journal of Personality and Social Psychology,107,1,1,York University,"face perception, intergroup bias, own-race bias, social categorization, socialvision, preferential attention, ingroup members, eyes, Whites",0,,Psychology,,0,0,7,7,,
"Hugenberg, K.",2014,An eye for the I: Preferential attention to the eyes of ingroup members.,Journal of Personality and Social Psychology,107,1,1,Miami University,"face perception, intergroup bias, own-race bias, social categorization, socialvision, preferential attention, ingroup members, eyes, Whites",0,,Psychology,,4,0,16,7,,
"Kawakami, K.",2014,An eye for the I: Preferential attention to the eyes of ingroup members.,Journal of Personality and Social Psychology,107,1,1,York University,"face perception, intergroup bias, own-race bias, social categorization, socialvision, preferential attention, ingroup members, eyes, Whites",0,,Psychology,,4,0,41,7,,
"Rodriguez-Bailon, R.",2014,An eye for the I: Preferential attention to the eyes of ingroup members.,Journal of Personality and Social Psychology,107,1,1,University of Granada,"face perception, intergroup bias, own-race bias, social categorization, socialvision, preferential attention, ingroup members, eyes, Whites",0,,Psychology,,0,0,7,7,,
"Sidhu, D.",2014,An eye for the I: Preferential attention to the eyes of ingroup members.,Journal of Personality and Social Psychology,107,1,1,York University,"face perception, intergroup bias, own-race bias, social categorization, socialvision, preferential attention, ingroup members, eyes, Whites",0,,Psychology,,0,0,7,7,,
"Williams, A.",2014,An eye for the I: Preferential attention to the eyes of ingroup members.,Journal of Personality and Social Psychology,107,1,1,York University,"face perception, intergroup bias, own-race bias, social categorization, socialvision, preferential attention, ingroup members, eyes, Whites",0,,Psychology,,0,0,7,7,,
"Inzlicht, M.",2014,Do needs for security and certainty predict cultural and economic conservatism? A cross-national analysis.,Journal of Personality and Social Psychology,106,6,1031,University of Toronto,"cultural conservatism, economic conservatism, ideology, political attitudes",0,,Psychology,,3,0,9,3,,
"Lelkes, Y.",2014,Do needs for security and certainty predict cultural and economic conservatism? A cross-national analysis.,Journal of Personality and Social Psychology,106,6,1031,University of Amsterdam,"cultural conservatism, economic conservatism, ideology, political attitudes",0,,Communications,,0,0,3,3,,
"Malka, A.",2014,Do needs for security and certainty predict cultural and economic conservatism? A cross-national analysis.,Journal of Personality and Social Psychology,106,6,1031,Yeshiva University,"cultural conservatism, economic conservatism, ideology, political attitudes",0,,Psychology,,0,0,3,3,,
"Soto, C.J.",2014,Do needs for security and certainty predict cultural and economic conservatism? A cross-national analysis.,Journal of Personality and Social Psychology,106,6,1031,Colby College,"cultural conservatism, economic conservatism, ideology, political attitudes",0,,Psychology,,4,0,15,3,,
"Andrews, S.E.",2014,Mapping individual differences in the experience of a waiting period.,Journal of Personality and Social Psychology,106,6,1015,University of California,"anxiety, expectations, individual differences, uncertainty, waiting",0,,Psychology,,0,0,1,1,,
"Sweeny, K.",2014,Mapping individual differences in the experience of a waiting period.,Journal of Personality and Social Psychology,106,6,1015,University of California,"anxiety, expectations, individual differences, uncertainty, waiting",0,,Psychology,,0,0,1,1,,
"Alvarez, J.M.",2014,A four-culture study of self-enhancement and adjustment using the social relations model: Do alternative conceptualizations and indices make a difference?.,Journal of Personality and Social Psychology,106,6,997,Washington State University,"adjustment, culture, self-enhancement, social relations model",0,,Psychology,,1,0,17,9,,
"Arias, R.M.",2014,A four-culture study of self-enhancement and adjustment using the social relations model: Do alternative conceptualizations and indices make a difference?.,Journal of Personality and Social Psychology,106,6,997,Catholic University of Tachira,"adjustment, culture, self-enhancement, social relations model",0,,Research,,0,0,9,9,,
"Church, A.T.",2014,A four-culture study of self-enhancement and adjustment using the social relations model: Do alternative conceptualizations and indices make a difference?.,Journal of Personality and Social Psychology,106,6,997,Washington State University,"adjustment, culture, self-enhancement, social relations model",0,,Psychology,,5,0,63,9,,
"Ibañez-Reyes, J.",2014,A four-culture study of self-enhancement and adjustment using the social relations model: Do alternative conceptualizations and indices make a difference?.,Journal of Personality and Social Psychology,106,6,997,National Autonomous University of Mexico,"adjustment, culture, self-enhancement, social relations model",0,,Research,,0,0,0,0,,
"Katigbak, M.S.",2014,A four-culture study of self-enhancement and adjustment using the social relations model: Do alternative conceptualizations and indices make a difference?.,Journal of Personality and Social Psychology,106,6,997,Washington State University,"adjustment, culture, self-enhancement, social relations model",0,,Psychology,,5,0,63,9,,
"Ortiz, F.A.",2014,A four-culture study of self-enhancement and adjustment using the social relations model: Do alternative conceptualizations and indices make a difference?.,Journal of Personality and Social Psychology,106,6,997,Gonzaga University,"adjustment, culture, self-enhancement, social relations model",0,,Counseling,,2,0,27,9,,
"Rincon, B.C.",2014,A four-culture study of self-enhancement and adjustment using the social relations model: Do alternative conceptualizations and indices make a difference?.,Journal of Personality and Social Psychology,106,6,997,Catholic University of Tachira,"adjustment, culture, self-enhancement, social relations model",0,,Research,,0,0,9,9,,
"Vargas-Flores, J.J.",2014,A four-culture study of self-enhancement and adjustment using the social relations model: Do alternative conceptualizations and indices make a difference?.,Journal of Personality and Social Psychology,106,6,997,National Autonomous University of Mexico,"adjustment, culture, self-enhancement, social relations model",0,,Research,,0,0,9,9,,
"Wang, C.",2014,A four-culture study of self-enhancement and adjustment using the social relations model: Do alternative conceptualizations and indices make a difference?.,Journal of Personality and Social Psychology,106,6,997,Washington State University,"adjustment, culture, self-enhancement, social relations model",0,,Education,,0,0,9,9,,
"Wang, L.",2014,A four-culture study of self-enhancement and adjustment using the social relations model: Do alternative conceptualizations and indices make a difference?.,Journal of Personality and Social Psychology,106,6,997,Peking University,"adjustment, culture, self-enhancement, social relations model",0,,Psychology,,2,0,62,9,,
"Jackson, J.J.",2014,Why do personality traits predict divorce? Multiple pathways through satisfaction.,Journal of Personality and Social Psychology,106,6,978,Washington University in St. Louis,"divorce, personality traits, relationship dissolution, relationship satisfaction, romantic couples",1,,Psychology,,1,1,8,1,,
"Solomon, B.C.",2014,Why do personality traits predict divorce? Multiple pathways through satisfaction.,Journal of Personality and Social Psychology,106,6,978,Washington University in St. Louis,"divorce, personality traits, relationship dissolution, relationship satisfaction, romantic couples",1,,Psychology,,1,1,1,1,,
"Faulmuller, N.",2014,The consistency principle in interpersonal communication: Consequences of preference confirmation and disconfirmation in collective decision making.,Journal of Personality and Social Psychology,106,6,961,University of Oxford,"group decision making, group discussion, interpersonal cognitive consistency, mutual enhancement, preference-consistent evaluation of information,interpersonal communication",1,,Psychology,,1,1,4,4,,
"Kerschreiter, R.",2014,The consistency principle in interpersonal communication: Consequences of preference confirmation and disconfirmation in collective decision making.,Journal of Personality and Social Psychology,106,6,961,Freie Universitat Berlin,"group decision making, group discussion, interpersonal cognitive consistency, mutual enhancement, preference-consistent evaluation of information,interpersonal communication",1,,Psychology,,1,1,10,4,,
"Mojzisch, A.",2014,The consistency principle in interpersonal communication: Consequences of preference confirmation and disconfirmation in collective decision making.,Journal of Personality and Social Psychology,106,6,961,University of Hildesheim,"group decision making, group discussion, interpersonal cognitive consistency, mutual enhancement, preference-consistent evaluation of information,interpersonal communication",1,,Psychology,,2,1,13,4,,
"Schulz-Hardt, S.",2014,The consistency principle in interpersonal communication: Consequences of preference confirmation and disconfirmation in collective decision making.,Journal of Personality and Social Psychology,106,6,961,Georg-August-University Goettingen,"group decision making, group discussion, interpersonal cognitive consistency, mutual enhancement, preference-consistent evaluation of information,interpersonal communication",1,,Psychology,,6,1,28,4,,
"Vogelgesang, F.",2014,The consistency principle in interpersonal communication: Consequences of preference confirmation and disconfirmation in collective decision making.,Journal of Personality and Social Psychology,106,6,961,Georg-August-University Goettingen,"group decision making, group discussion, interpersonal cognitive consistency, mutual enhancement, preference-consistent evaluation of information,interpersonal communication",1,,Psychology,,1,1,4,4,,
"Goldstein, N.J.",2014,Perceived perspective taking: When others walk in our shoes.,Journal of Personality and Social Psychology,106,6,941,University of California,"empathy, perspective taking, prosocial behavior, self-other overlap, similarity",0,,Management,,2,0,8,2,,
"Shapiro, J.R.",2014,Perceived perspective taking: When others walk in our shoes.,Journal of Personality and Social Psychology,106,6,941,University of California,"empathy, perspective taking, prosocial behavior, self-other overlap, similarity",0,,Psychology,,5,0,16,2,,
"Vezich, I.S.",2014,Perceived perspective taking: When others walk in our shoes.,Journal of Personality and Social Psychology,106,6,941,University of California,"empathy, perspective taking, prosocial behavior, self-other overlap, similarity",0,,Psychology,,0,0,2,2,,
"Agnew, C.R.",2014,Relational consequences of personal goal pursuits.,Journal of Personality and Social Psychology,106,6,927,Purdue University,"mindsets, personal goal pursuits, relationship maintenance, romantic relationships, interpersonal relationships",0,,Psychology,,2,0,6,1,,
"VanderDrift, L.E.",2014,Relational consequences of personal goal pursuits.,Journal of Personality and Social Psychology,106,6,927,Syracuse University,"mindsets, personal goal pursuits, relationship maintenance, romantic relationships, interpersonal relationships",0,,Psychology,,0,0,1,1,,
"Ariyanto, A.",2014,"What makes a group worth dying for? Identity fusion fosters perception of familial ties, promoting self-sacrifice.",Journal of Personality and Social Psychology,106,6,912,University of Indonesia,"culture, identity fusion, self-sacrifice, groups",2,,Psychology,,1,1,16,16,,
"Bastian, B.",2014,"What makes a group worth dying for? Identity fusion fosters perception of familial ties, promoting self-sacrifice.",Journal of Personality and Social Psychology,106,6,912,University of Queensland,"culture, identity fusion, self-sacrifice, groups",2,,Psychology,,2,1,20,16,,
"Besta, T.",2014,"What makes a group worth dying for? Identity fusion fosters perception of familial ties, promoting self-sacrifice.",Journal of Personality and Social Psychology,106,6,912,University of Gdansk,"culture, identity fusion, self-sacrifice, groups",2,,Psychology,,1,1,16,16,,
"Buhrmester, M.D.",2014,"What makes a group worth dying for? Identity fusion fosters perception of familial ties, promoting self-sacrifice.|Contemplating the ultimate sacrifice: Identity fusion channels pro-group affect, cognition, and moral decision making.",Journal of Personality and Social Psychology,106|106,6|5,912|713,University of Oxford|University of Oxford,"culture, identity fusion, self-sacrifice, groups|identity fusion, moral judgment, morality, self-sacrifice, social identity, cognition, decision making",2|2,,Anthropology|Psychology,|,2,2,32,21,,
"Christ, O.",2014,"What makes a group worth dying for? Identity fusion fosters perception of familial ties, promoting self-sacrifice.",Journal of Personality and Social Psychology,106,6,912,Philipps University Marburg,"culture, identity fusion, self-sacrifice, groups",2,,Psychology,,3,1,32,16,,
